train_number,train_name,section_id,departure_time,arrival_time,frequency,train_type,days_of_run
12001,New - Ghaziabad Vande Bharat Express,NDLS-GZB,07:15,08:55,Daily,Passenger,All Days
12002,New - Ghaziabad Shatabdi Express,NDLS-GZB,18:30,19:25,Daily,Passenger,All Days
12003,New - Ghaziabad Shatabdi Express,NDLS-GZB,07:15,10:40,Daily,Passenger,All Days
12004,New - Ghaziabad POL Tanker Freight,NDLS-GZB,00:30,01:25,Daily,Freight,All Days
12005,New - H. Superfast Express,NDLS-NZM,16:00,17:55,Daily,Passenger,All Days
12006,New - H. Superfast Express,NDLS-NZM,07:15,09:10,Daily,Passenger,All Days
12007,New - H. Container Freight,NDLS-NZM,00:30,02:25,Daily,Freight,All Days
12008,New - H. Superfast Express,NDLS-NZM,18:30,21:25,Daily,Passenger,All Days
12009,New - H. Superfast Express,NDLS-NZM,07:00,10:10,Daily,Passenger,All Days
12010,New - H. Vande Bharat Express,NDLS-NZM,16:15,17:10,Daily,Passenger,All Days
12011,Ambala - Chandigarh Container Freight,AMB-CDG,11:45,13:55,Daily,Freight,All Days
12012,Ambala - Chandigarh Vande Bharat Express,AMB-CDG,20:15,22:10,Daily,Passenger,All Days
12013,Ambala - Chandigarh Shatabdi Express,AMB-CDG,07:15,08:40,Daily,Passenger,All Days
12014,Ambala - Chandigarh Superfast Express,AMB-CDG,07:30,10:55,Daily,Passenger,All Days
12015,Ambala - Chandigarh POL Tanker Freight,AMB-CDG,03:00,04:10,Daily,Freight,All Days
12016,Lucknow - Varanasi Vande Bharat Express,LKO-BSB,19:00,21:25,Daily,Passenger,All Days
12017,Lucknow - Varanasi Vande Bharat Express,LKO-BSB,06:15,09:10,Daily,Passenger,All Days
12018,Lucknow - Varanasi Rajdhani Express,LKO-BSB,19:30,22:40,Daily,Passenger,All Days
12019,Lucknow - Varanasi Rajdhani Express,LKO-BSB,17:15,20:40,Daily,Passenger,All Days
12020,Lucknow - Varanasi POL Tanker Freight,LKO-BSB,01:00,03:55,Daily,Freight,All Days
