task_id,source_system,department,section_id,section_name,zone_code,defect_type,defect_description,criticality,reported_date,due_date,estimated_duration,location_km,recurrence_count,inspection_gap_days,import_source
TMS-0001,TMS,Engineering,NDLS-GZB,New Delhi - Ghaziabad,NR,Level Crossing Paved Track Repair,Rubber pad renewal and check rail clearance at LC Gate on New Delhi - Ghaziabad,medium,2026-09-09,2026-09-21,135,7.7,0,15,data.gov.in
TMS-0002,TMS,Engineering,NDLS-GZB,New Delhi - Ghaziabad,NR,Track Geometry Alignment Calibration,Track recording car flagged cross-level and twist exceeding tolerance on New Delhi - Ghaziabad,high,2026-09-04,2026-09-10,120,1.9,0,30,data.gov.in
SMMS-0003,SMMS,Signal & Telecom,NDLS-GZB,New Delhi - Ghaziabad,NR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on New Delhi - Ghaziabad,high,2026-08-31,2026-09-18,90,7.6,1,15,data.gov.in
SMMS-0004,SMMS,Signal & Telecom,NDLS-GZB,New Delhi - Ghaziabad,NR,Track Circuit Relay Replacement,QTA2 track relay contact resistance fluctuating under dampness on New Delhi - Ghaziabad,high,2026-09-04,2026-09-19,90,9.3,0,45,data.gov.in
TDMS-0005,TDMS,Traction Distribution,NDLS-GZB,New Delhi - Ghaziabad,NR,Insulator Jet Washing,Heavy pollution encrustation on porcelain insulators near industrial sidings on New Delhi - Ghaziabad,medium,2026-09-05,2026-09-13,90,11.8,1,45,data.gov.in
TDMS-0006,TDMS,Traction Distribution,NDLS-GZB,New Delhi - Ghaziabad,NR,Neutral Section Insulator Renewal,PTFE neutral section runner wear exceeds 3mm safety tolerance on New Delhi - Ghaziabad,critical,2026-09-03,2026-09-25,90,4.7,2,15,data.gov.in
TMS-0007,TMS,Engineering,NDLS-NZM,New Delhi - Hazrat Nizamuddin,NR,Track Geometry Alignment Calibration,Track recording car flagged cross-level and twist exceeding tolerance on New Delhi - Hazrat Nizamuddin,high,2026-09-06,2026-09-29,120,2.2,0,15,data.gov.in
TMS-0008,TMS,Engineering,NDLS-NZM,New Delhi - Hazrat Nizamuddin,NR,Sleeper Replacement & Fastening,Pre-stressed concrete sleeper renewal on high-density curve track on New Delhi - Hazrat Nizamuddin,medium,2026-09-08,2026-09-15,135,6.1,0,60,data.gov.in
TMS-0009,TMS,Engineering,NDLS-NZM,New Delhi - Hazrat Nizamuddin,NR,SEJ Overhaul,Tongue and stock rail gap calibration for extreme thermal expansion on New Delhi - Hazrat Nizamuddin,high,2026-09-03,2026-09-28,165,6.0,0,45,data.gov.in
SMMS-0010,SMMS,Signal & Telecom,NDLS-NZM,New Delhi - Hazrat Nizamuddin,NR,Point Machine Lock Bar Testing,Facing point lock tolerance check on junction interlocking on New Delhi - Hazrat Nizamuddin,high,2026-09-09,2026-10-04,90,1.4,0,30,data.gov.in
SMMS-0011,SMMS,Signal & Telecom,NDLS-NZM,New Delhi - Hazrat Nizamuddin,NR,Track Circuit Relay Replacement,QTA2 track relay contact resistance fluctuating under dampness on New Delhi - Hazrat Nizamuddin,high,2026-09-03,2026-09-20,90,2.6,0,45,data.gov.in
SMMS-0012,SMMS,Signal & Telecom,NDLS-NZM,New Delhi - Hazrat Nizamuddin,NR,OFC Splicing & Path Jointing,Fiber attenuation high on quad cable core near intermediate block hut on New Delhi - Hazrat Nizamuddin,high,2026-09-10,2026-09-16,105,5.8,2,45,data.gov.in
TDMS-0013,TDMS,Traction Distribution,NDLS-NZM,New Delhi - Hazrat Nizamuddin,NR,25kV TSS Feeder CB Overhaul,Vacuum circuit breaker auxiliary contact overhaul during scheduled power block on New Delhi - Hazrat Nizamuddin,critical,2026-08-30,2026-09-14,120,2.3,2,60,data.gov.in
